Year ,Age ,PTL_active ,PTL_TTL_active ,PTL_annuitant ,PTL_TTL_annuitant ,PTL_GRAND_TTL 
X2015 , 62 , 6710625662.4 , 245341263039.84 , 1737831700 , 3475663400 , 269517824239.84 
X2015 , 63 , 6710625662.4 , 252051888702.24 , 1662273800 , 3324547600 , 279552997502.24 
X2015 , 64 , 6710625662.4 , 258762514364.64 , 1586715900 , 3173431800 , 289437054964.64 
X2015 , 65 , 2221098770.88 , 260983613135.52 , 1511158000 , 3022316000 , 294680469735.52 
X2015 , 66 , 2221098770.88 , 263204711906.4 , 1397608080 , 2795216160 , 299696784666.4 
X2015 , 67 , 2221098770.88 , 265425810677.28 , 1324049760 , 2648099520 , 304565982957.28 
X2015 , 68 , 2221098770.88 , 267646909448.16 , 1250491440 , 2500982880 , 309288064608.16 
X2015 , 69 , 2221098770.88 , 269868008219.04 , 1176933120 , 2353866240 , 313863029619.04 
X2015 , 70 , 828263620.8 , 270696271839.84 , 1103374800 , 2206749600 , 316898042839.84 
X2015 , 71 , 828263620.8 , 271524535460.64 , 691133520 , 1382267040 , 319108573500.64 
X2015 , 72 , 828263620.8 , 272352799081.44 , 641766840 , 1283533680 , 321220370801.44 
X2015 , 73 , 828263620.8 , 273181062702.24 , 592400160 , 1184800320 , 323233434742.24 
X2015 , 74 , 828263620.8 , 274009326323.04 , 543033480 , 1086066960 , 325147765323.04 
X2015 , 75 , 828263620.8 , 274009326323.04 , 493666800 , 987333600 , 326135098923.04 
X2015 , 76 , 828263620.8 , 274009326323.04 , 317146500 , 634293000 , 326769391923.04 
X2015 , 77 , 828263620.8 , 274009326323.04 , 281908000 , 563816000 , 327333207923.04 
X2015 , 78 , 828263620.8 , 274009326323.04 , 246669500 , 493339000 , 327826546923.04 
X2015 , 79 , 828263620.8 , 274009326323.04 , 211431000 , 422862000 , 328249408923.04 
X2015 , 80 , 828263620.8 , 274009326323.04 , 176192500 , 352385000 , 328601793923.04 
X2015 , 81 , 828263620.8 , 274009326323.04 , 99257840 , 198515680 , 328800309603.04 
X2015 , 82 , 828263620.8 , 274009326323.04 , 74443380 , 148886760 , 328949196363.04 
X2015 , 83 , 828263620.8 , 274009326323.04 , 49628920 , 99257840 , 329048454203.04 
X2015 , 84 , 828263620.8 , 274009326323.04 , 24814460 , 49628920 , 329098083123.04 
